,TestFile,TestCase,TargetFile,TargetFunction,LineFrom,LineTo
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,clear_error,64,
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,closedb,42,
0,tt3_vacuum.c,vacuum1_thread_writer,showjournal.c,db,14,
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,execsql,49,
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,opendb,41,
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,print_and_free_err,488,491
0,tt3_vacuum.c,vacuum1_thread_writer,sqlite3ext.h,sqlite3_mprintf,460,
0,tt3_vacuum.c,vacuum1_thread_writer,threadtest3.c,timetostop,60,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,clear_error,64,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,closedb,42,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,showjournal.c,db,14,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,opendb,41,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,print_and_free_err,488,491
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,sql_script,45,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,sqlite3ext.h,sqlite3_mprintf,460,
0,tt3_vacuum.c,vacuum1_thread_vacuumer,threadtest3.c,timetostop,60,
0,tt3_vacuum.c,vacuum1,threadtest3.c,closedb,42,
0,tt3_vacuum.c,vacuum1,showjournal.c,db,14,
0,tt3_vacuum.c,vacuum1,threadtest3.c,join_all_threads,56,
0,tt3_vacuum.c,vacuum1,threadtest3.c,launch_thread,55,
0,tt3_vacuum.c,vacuum1,threadtest3.c,opendb,41,
0,tt3_vacuum.c,vacuum1,threadtest3.c,print_and_free_err,488,491
0,tt3_vacuum.c,vacuum1,threadtest3.c,setstoptime,59,
0,tt3_vacuum.c,vacuum1,threadtest3.c,sql_script,45,
0,tt3_vacuum.c,vacuum1,btree.c,sqlite3_enable_shared_cache,89,92
0,tt3_vacuum.c,vacuum1,tt3_vacuum.c,vacuum1_thread_vacuumer,52,65
0,tt3_vacuum.c,vacuum1,tt3_vacuum.c,vacuum1_thread_writer,23,50
0,fuzzcheck.c,fatalError,fuzzcheck.c,GlobalVars::zArgv0,148,
0,fuzzcheck.c,fatalError,fuzzcheck.c,GlobalVars::zDbFile,149,
0,fuzzcheck.c,fatalError,fuzzcheck.c,GlobalVars::zTestName,156,
0,fuzzcheck.c,setAlarm,UnicodeData.txt,N,1,
0,fuzzcheck.c,progressHandler,fuzzcheck.c,fatalError,170,181
0,fuzzcheck.c,safe_realloc,fuzzcheck.c,fatalError,170,181
0,fuzzcheck.c,formatVfs,dbfuzz.c,VFile::a,82,
0,fuzzcheck.c,formatVfs,dbfuzz.c,GlobalVars::aFile,103,
0,fuzzcheck.c,formatVfs,fuzzcheck.c,MX_FILE,137,
0,fuzzcheck.c,formatVfs,dbfuzz.c,VFile::nRef,81,
0,fuzzcheck.c,formatVfs,dbfuzz.c,VFile::sz,80,
0,fuzzcheck.c,formatVfs,dbfuzz.c,VFile::zFilename,79,
0,fuzzcheck.c,reformatVfs,dbfuzz.c,VFile::a,82,
0,fuzzcheck.c,reformatVfs,dbfuzz.c,GlobalVars::aFile,103,
0,fuzzcheck.c,reformatVfs,fuzzcheck.c,fatalError,170,181
0,fuzzcheck.c,reformatVfs,fuzzcheck.c,MX_FILE,137,
0,fuzzcheck.c,reformatVfs,dbfuzz.c,VFile::nRef,81,
0,fuzzcheck.c,reformatVfs,dbfuzz.c,VFile::sz,80,
0,fuzzcheck.c,reformatVfs,dbfuzz.c,VFile::zFilename,79,
0,fuzzcheck.c,findVFile,dbfuzz.c,GlobalVars::aFile,103,
0,fuzzcheck.c,findVFile,fuzzcheck.c,MX_FILE,137,
0,fuzzcheck.c,findVFile,dbfuzz.c,VFile::zFilename,79,
0,fuzzcheck.c,findVFile,date.c,zName,626,
0,fuzzcheck.c,createVFile,dbfuzz.c,VFile::a,82,
0,fuzzcheck.c,createVFile,dbfuzz.c,GlobalVars::aFile,103,
0,fuzzcheck.c,createVFile,fuzzcheck.c,findVFile,276,284
0,fuzzcheck.c,createVFile,fuzzcheck.c,MX_FILE,137,
0,fuzzcheck.c,createVFile,date.c,nName,625,
0,fuzzcheck.c,createVFile,dbfuzz.c,VFile::nRef,81,
0,fuzzcheck.c,createVFile,fuzzcheck.c,safe_realloc,232,236
0,fuzzcheck.c,createVFile,dbfuzz.c,VFile::sz,80,
0,fuzzcheck.c,createVFile,dbfuzz.c,VFile::zFilename,79,
0,fuzzcheck.c,createVFile,date.c,zName,626,
0,fuzzcheck.c,renderDbSqlForCLI,fuzzcheck.c,allZero,314,318
0,fuzzcheck.c,renderDbSqlForCLI,optfuzz-db01.txt,c,22,
0,fuzzcheck.c,readFile,malloc.c,sqlite3_free,379,392
0,fuzzcheck.c,readFile,malloc.c,sqlite3_malloc64,308,313
0,fuzzcheck.c,readfileFunc,fuzzcheck.c,readFile,391,413
0,fuzzcheck.c,readfileFunc,malloc.c,sqlite3_free,379,392
0,fuzzcheck.c,readfileFunc,vdbeapi.c,sqlite3_result_blob,415,424
0,fuzzcheck.c,readfileFunc,vdbeapi.c,sqlite3_value_text,217,219
0,fuzzcheck.c,readfileFunc,date.c,zName,626,
0,fuzzcheck.c,readtextfileFunc,malloc.c,sqlite3_free,379,392
0,fuzzcheck.c,readtextfileFunc,malloc.c,sqlite3_malloc64,308,313
0,fuzzcheck.c,readtextfileFunc,vdbeapi.c,sqlite3_result_text,485,493
0,fuzzcheck.c,readtextfileFunc,vdbeapi.c,sqlite3_value_text,217,219
0,fuzzcheck.c,readtextfileFunc,date.c,zName,626,
0,fuzzcheck.c,writefileFunc,autoconf/README.txt,rc,9,
0,fuzzcheck.c,writefileFunc,speedtest1.c,sqlite3_int64,65,
0,fuzzcheck.c,writefileFunc,vdbeapi.c,sqlite3_result_int64,459,462
0,fuzzcheck.c,writefileFunc,vdbeapi.c,sqlite3_value_blob,172,184
0,fuzzcheck.c,writefileFunc,vdbeapi.c,sqlite3_value_bytes,185,187
0,fuzzcheck.c,writefileFunc,vdbeapi.c,sqlite3_value_text,217,219
0,fuzzcheck.c,blobListLoadFromDb,fts3_write.c,Blob::a,3690,
0,fuzzcheck.c,blobListLoadFromDb,showjournal.c,db,14,
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,fatalError,170,181
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,Blob::id,128,
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,Blob::pNext,127,
0,fuzzcheck.c,blobListLoadFromDb,autoconf/README.txt,rc,9,
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,safe_realloc,232,236
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,Blob::seq,129,
0,fuzzcheck.c,blobListLoadFromDb,vdbeapi.c,sqlite3_column_blob,1213,1222
0,fuzzcheck.c,blobListLoadFromDb,vdbeapi.c,sqlite3_column_bytes,1223,1227
0,fuzzcheck.c,blobListLoadFromDb,vdbeapi.c,sqlite3_column_int,1238,1242
0,fuzzcheck.c,blobListLoadFromDb,main.c,sqlite3_errmsg,2574,2595
0,fuzzcheck.c,blobListLoadFromDb,vdbeapi.c,sqlite3_finalize,99,116
0,fuzzcheck.c,blobListLoadFromDb,malloc.c,sqlite3_free,379,392
0,fuzzcheck.c,blobListLoadFromDb,sqlite3ext.h,sqlite3_mprintf,460,
0,fuzzcheck.c,blobListLoadFromDb,prepare.c,sqlite3_prepare_v2,918,935
0,fuzzcheck.c,blobListLoadFromDb,vdbeapi.c,sqlite3_step,783,830
0,fuzzcheck.c,blobListLoadFromDb,fuzzcheck.c,Blob::sz,130,
0,fuzzcheck.c,blobListFree,fuzzcheck.c,Blob::pNext,127,
0,fuzzcheck.c,timeOfDay,speedtest1.c,sqlite3_int64,65,
0,fuzzcheck.c,timeOfDay,os.c,sqlite3_vfs_find,359,378
0,fuzzcheck.c,oomFault,fuzzcheck.c,eVerbosity,601,
0,fuzzcheck.c,oomFault,fuzzcheck.c,oomCounter,627,
0,fuzzcheck.c,oomFault,fuzzcheck.c,oomRepeat,628,
0,fuzzcheck.c,oomMalloc,fuzzcheck.c,defaultMalloc,629,
0,fuzzcheck.c,oomMalloc,fuzzcheck.c,oomCounter,627,
0,fuzzcheck.c,oomMalloc,fuzzcheck.c,oomFault,635,644
0,fuzzcheck.c,registerOomSimulator,fuzzcheck.c,defaultMalloc,629,
0,fuzzcheck.c,registerOomSimulator,fuzzcheck.c,oomMalloc,649,659
0,fuzzcheck.c,registerOomSimulator,main.c,sqlite3_config,429,734
0,fuzzcheck.c,registerOomSimulator,main.c,sqlite3_shutdown,375,418
0,fuzzcheck.c,disableOom,fuzzcheck.c,oomCounter,627,
0,fuzzcheck.c,disableOom,fuzzcheck.c,oomRepeat,628,
0,fuzzcheck.c,isOffset,optfuzz-db01.txt,c,22,
0,fuzzcheck.c,isOffset,fuzzcheck.c,hexToInt,683,690
0,fuzzcheck.c,decodeDatabase,optfuzz-db01.txt,a,22,
0,fuzzcheck.c,decodeDatabase,optfuzz-db01.txt,b,17,
