Commit Nr,TargetFile,FeatureName,FeatFrom,FeatTo
1,src/sqliteInt.h,__TOS_AIX__,853,858
1,src/sqliteInt.h,__TOS_AIX__,858,860
1,src/utf.c,SQLITE_REPLACE_INVALID_UTF,287,300
1,src/utf.c,SQLITE_REPLACE_INVALID_UTF,316,329
1,src/ctime.c,SQLITE_OMIT_HEX_INTEGER,576,578
1,ext/lsm1/lsm_ckpt.c,LSM_LOG_FREELIST,482,493
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,846,849
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,783,793
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,856,858
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,194,200
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,898,900
1,ext/lsm1/lsm_sorted.c,LSM_LOG_FREELIST,5904,5910
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,811,818
1,ext/lsm1/lsm_sorted.c,LSM_LOG_FREELIST,5519,5524
1,ext/lsm1/lsm_shared.c,LSM_LOG_FREELIST,878,880
1,src/test_config.c,SQLITE_OMIT_WINDOWFUNC,780,782
1,src/sqliteInt.h,SQLITE_OMIT_WINDOWFUNC,2960,2962
1,tool/mkkeywordhash.c,SQLITE_OMIT_WINDOWFUNC,152,154
1,src/func.c,SQLITE_OMIT_WINDOWFUNC,1730,1732
1,src/resolve.c,SQLITE_OMIT_WINDOWFUNC,1612,1614
1,src/func.c,SQLITE_OMIT_WINDOWFUNC,1874,1876
1,src/func.c,SQLITE_OMIT_WINDOWFUNC,1671,1673
1,src/json.c,SQLITE_OMIT_WINDOWFUNC,2051,2053
1,src/sqliteInt.h,SQLITE_OMIT_WINDOWFUNC,4233,4237
1,src/treeview.c,SQLITE_OMIT_WINDOWFUNC,672,674
1,src/resolve.c,SQLITE_OMIT_WINDOWFUNC,1127,1133
1,src/tokenize.c,SQLITE_OMIT_WINDOWFUNC,624,627
1,src/resolve.c,SQLITE_OMIT_WINDOWFUNC,1161,1163
1,src/func.c,SQLITE_OMIT_WINDOWFUNC,1593,1595
1,src/func.c,SQLITE_OMIT_WINDOWFUNC,1903,1905
1,src/ctime.c,SQLITE_OMIT_CTE,543,545
1,tool/mkkeywordhash.c,SQLITE_OMIT_CTE,142,144
1,src/test_config.c,SQLITE_OMIT_CTE,328,330
1,src/sqliteInt.h,SQLITE_OMIT_CTE,4087,4089
1,src/sqliteInt.h,SQLITE_OMIT_CTE,5226,5232
1,src/expr.c,SQLITE_OMIT_CTE,1537,1539
1,src/test_config.c,SQLITE_OMIT_ATTACH,256,258
1,src/test_config.c,SQLITE_OMIT_ATTACH,690,692
1,src/ctime.c,SQLITE_OMIT_ATTACH,501,503
1,tool/mkkeywordhash.c,SQLITE_OMIT_ATTACH,66,68
1,tool/mkkeywordhash.c,SQLITE_OMIT_ATTACH,121,124
1,src/ctime.c,SQLITE_OMIT_TEST_CONTROL,651,653
1,src/ctime.c,SQLITE_OMIT_FOREIGN_KEY,570,572
1,src/test_config.c,SQLITE_OMIT_FOREIGN_KEY,405,407
1,tool/mkkeywordhash.c,SQLITE_OMIT_FOREIGN_KEY,96,98
1,src/sqliteInt.h,SQLITE_OMIT_FOREIGN_KEY,5277,5280
1,src/vdbeInt.h,SQLITE_OMIT_FOREIGN_KEY,680,682
1,src/wal.c,SQLITE_ENABLE_EXPENSIVE_ASSERT,3212,3228
1,src/ctime.c,SQLITE_ENABLE_EXPENSIVE_ASSERT,232,234
1,src/wal.c,SQLITE_ENABLE_EXPENSIVE_ASSERT,1178,1205
1,src/wal.c,SQLITE_ENABLE_EXPENSIVE_ASSERT,1111,1125
1,src/sqliteInt.h,__PTRDIFF_TYPE__,267,270
1,test/kvtest.c,__PTRDIFF_TYPE__,155,158
1,src/ctime.c,SQLITE_ENABLE_BYTECODE_VTAB,208,210
1,src/vdbeaux.c,SQLITE_ENABLE_BYTECODE_VTAB,2144,2151
1,src/main.c,SQLITE_ENABLE_BYTECODE_VTAB,93,95
1,src/vdbevtab.c,SQLITE_ENABLE_BYTECODE_VTAB,422,424
1,src/vdbevtab.c,SQLITE_ENABLE_BYTECODE_VTAB,17,422
1,src/vdbe.h,SQLITE_ENABLE_BYTECODE_VTAB,291,293
1,src/test_config.c,SQLITE_OMIT_TRUNCATE_OPTIMIZATION,678,680
1,src/ctime.c,SQLITE_OMIT_TRUNCATE_OPTIMIZATION,662,664
1,src/ctime.c,SQLITE_ENABLE_URI_00_ERROR,343,345
1,src/test_config.c,SQLITE_ENABLE_URI_00_ERROR,768,770
1,src/main.c,SQLITE_ENABLE_URI_00_ERROR,2993,2998
1,src/os_win.c,SQLITE_WIN32_MALLOC,1543,1545
1,src/os_win.c,SQLITE_WIN32_MALLOC,1515,1517
1,src/os_win.c,SQLITE_WIN32_MALLOC,1494,1496
1,src/os_win.c,SQLITE_WIN32_MALLOC,367,369
1,src/os_win.c,SQLITE_WIN32_MALLOC,1257,1270
1,src/os_win.c,SQLITE_WIN32_MALLOC,1254,1256
1,src/os_win.c,SQLITE_WIN32_MALLOC,1573,1594
1,src/os_win.c,SQLITE_WIN32_MALLOC,1237,1323
1,src/sqliteInt.h,SQLITE_WIN32_MALLOC,367,371
1,src/os_win.c,SQLITE_WIN32_MALLOC,1460,1663
1,src/os_win.c,SQLITE_WIN32_MALLOC,1606,1608
1,src/sqliteInt.h,SQLITE_WIN32_MALLOC,372,377
1,src/ctime.c,SQLITE_WIN32_MALLOC,773,775
1,src/os_win.c,SQLITE_WIN32_MALLOC,1472,1474
