Label/FeatureName,#total,#external,#internal,#transient
SQLITE_MUTEX_W32,1,0,0,1
SQLITE_OMIT_HEX_INTEGER,1,1,0,0
SQLITE_REPLACE_INVALID_UTF,1,1,0,0
LSM_LOG_FREELIST,1,1,0,0
SQLITE_OMIT_CTE,1,1,0,0
SQLITE_OMIT_WINDOWFUNC,1,1,0,0
SQLITE_OMIT_ATTACH,1,1,0,0
SQLITE_OMIT_TEST_CONTROL,1,1,0,0
__PTRDIFF_TYPE__,1,1,0,0
SQLITE_ENABLE_EXPENSIVE_ASSERT,1,1,0,0
winIsDirSep,1,0,0,1
SQLITE_OMIT_TRUNCATE_OPTIMIZATION,1,1,0,0
HAVE_PREAD,1,0,1,0
SQLITE_WIN32_MALLOC,1,1,0,0
SQLITE_WIN32_IOERR_RETRY_DELAY,1,0,0,1
SQLITE_OMIT_RETURNING,1,1,0,0
__AARCH64EB__,1,1,0,0
SQLITE_OMIT_REINDEX,1,1,0,0
SQLITE_OMIT_BETWEEN_OPTIMIZATION,1,1,0,0
SQLITE_OMIT_LIKE_OPTIMIZATION,1,1,0,0
SQLITE_VDBE_H,1,0,1,0
SQLITE_USE_URI,1,0,1,0
SQLITE_MAX_MMAP_SIZE,1,0,1,0
SQLITE_FP_PRECISION_LIMIT,1,0,1,0
SQLITE_OMIT_TRACE,1,0,1,0
SQLITE_EXTRA_SHUTDOWN,1,1,0,0
HAVE_UINT16_T,1,1,0,0
LSM_LOG_STRUCTURE,1,0,1,0
SQLITE_CHECK_PAGES,1,1,0,0
SQLITE_WIN32_MALLOC_VALIDATE,1,1,0,0
SQLITE_MUTATION_TEST,1,1,0,0
SQLITE_TESTCTRL_PRNG_SEED,1,1,0,0
ZERO_ARGUMENT_GENERATE_SERIES,1,1,0,0
UINT8_TYPE,1,0,0,1
FILE_ATTRIBUTE_MASK,1,0,0,1
__ppc__,1,1,0,0
SQLITE_ENABLE_COLUMN_METADATA,1,1,0,0
AT_FDCWD,1,1,0,0
SQLITE_FTS3_MAX_EXPR_DEPTH,1,0,1,0
TCL_MINOR_VERSION,1,1,0,0
_OS_COMMON_H_,1,0,1,0
SQLITE_QUERY_PLANNER_LIMIT,1,0,0,1
SQLITE_SHM_DIRECTORY,1,1,0,0
YYERRORSYMBOL,1,1,0,0
STANDALONE,1,1,0,0
SQLITE_OMIT_VIRTUALTABLE,1,1,0,0
SQLITE_MAX_PATHLEN,1,0,0,1
SQLITE_DEFAULT_ROWEST,1,1,0,0
SQLITE_ENABLE_MEMSYS5,1,1,0,0
SQLITE_ENABLE_MEMSYS3,1,0,0,1
SIGTRAP,1,1,0,0
SQLITE_OMIT_AUTOINCREMENT,1,1,0,0
